,PIEZO2,GDF3,EBF2,VIPAS39,PREX2,MAP3K9,CIB1,ASB14,ARMC8,KCNE5,MUC5B,PMEL,NCCRP1,CRLF1,DGKI,ZNF749,GTF2F2,RPL7L1,S100A9,CDC5L,TP63,MTRNR2L6,KEL,FRS3,SCX,TFEB,TJAP1,DNAH8,BBS4,YIPF3,label
TCGA.KM.8441.01A,0.133883704235463,0.0068846815834767,0.0049028971665074,0.460984393757503,0.0933222729158025,0.1699616406019474,0.1497269541119896,0.0609137055837563,0.5182667799490229,0.0760869565217391,0.0612244897959183,0.1387387387387387,0.0085470085470085,0.0019753550935942,0.0004585006011452,0.5368379131819992,0.3335694050991501,0.4142230881636629,0.1269140929146119,0.3889004798664719,0.0544662309368191,0.2535211267605634,0.000847098686997,0.2036753445635528,0.0414012738853503,0.5878582202111614,0.4444444444444444,0.0823529411764705,0.2709529276693456,0.2771725361033696,0
TCGA.KN.8425.01A,0.0979899497487437,0.0,0.374785100286533,0.7815126050420168,0.1036914143508917,0.4098554145765712,0.8046295541608934,0.1116751269035533,0.361653922401586,0.0,0.3469387755102041,0.4144144144144144,0.0384615384615384,0.087385946759477,0.0483769078719458,0.0911987256073277,0.2291076487252124,0.3762299074525085,0.0786400207630417,0.401836010849155,0.1045751633986928,0.1549295774647887,0.0021177467174925,0.2924961715160796,0.1146496815286624,0.7607466063348417,0.2568376068376068,0.0431372549019607,0.3343857634902411,0.4083269994088337,0
TCGA.KN.8435.01A,0.2541277817659727,0.0017211703958691,0.0116523400191021,0.5216086434573829,0.1567814184985483,0.4231336677485984,0.3429782378351944,0.365482233502538,0.7558765222316625,0.0,0.2040816326530612,0.2684684684684685,0.0534188034188034,0.0070548396199793,0.0296395166384773,0.1210673038630027,0.2496458923512748,0.4738431563565514,0.0254347261873864,0.4479449196745254,0.1372549019607843,0.1830985915492957,0.0038119440914866,0.2526799387442572,0.3280254777070064,0.3910256410256411,0.3384615384615385,0.0078431372549019,0.2459816303099884,0.317794105227599,0
TCGA.KN.8432.01A,0.12275664034458,0.0086058519793459,0.0133715377268385,0.2971188475390156,0.0684363334715885,0.0306875184420182,0.0287717010351292,0.0253807106598984,0.1968280940243557,0.0108695652173913,0.0816326530612244,0.063063063063063,0.0042735042735042,0.0053616781111842,0.0044117946732419,0.0350457984866587,0.1604107648725212,0.2536775450560156,0.0373734752141188,0.2804089296891299,0.008714596949891,0.0140845070422535,0.0067767894959762,0.0903522205206738,0.0573248407643312,0.1604449472096531,0.2175213675213675,0.1098039215686274,0.2115384615384615,0.146355882104552,0
TCGA.KO.8410.01A,0.1694185211773151,0.0103270223752151,0.223559375994906,0.4927971188475389,0.1671505599336374,0.4712304514606079,0.062841307360013,0.0862944162436548,0.426791277258567,0.0,0.4693877551020408,0.190990990990991,0.0512820512820512,0.0152384535791553,0.0009271901045381,0.1135005973715651,0.2446883852691218,0.4059425231368728,0.0609914352452634,0.5084498226580431,0.0718954248366013,0.3380281690140845,0.001694197373994,0.116385911179173,0.0222929936305732,0.3880090497737557,0.2555555555555555,0.0784313725490196,0.1280137772675086,0.2211806435267291,0
TCGA.KL.8340.01A,0.1062455132806891,0.0068846815834767,0.4223495702005731,0.3247298919567827,0.0618000829531314,0.231336677485984,0.379656043687342,0.1776649746192893,0.4817332200509771,0.0,0.1020408163265306,0.063063063063063,0.0619658119658119,0.0017872260370614,0.0057159741609439,0.0784547988849064,0.1568696883852691,0.2255236239649294,0.0189462756293797,0.265387022741498,0.1982570806100218,0.1690140845070422,0.0012706480304955,0.1531393568147013,0.1560509554140127,0.302790346907994,0.2508547008547008,0.0156862745098039,0.2195752009184844,0.3218478169073557,0
TCGA.KN.8431.01A,0.0879396984924623,0.0086058519793459,0.2452085323145495,0.0,0.0829531314807134,0.064030687518442,0.2334338576901132,0.065989847715736,0.1362220334182951,0.0108695652173913,0.1020408163265306,0.0054054054054054,0.0,0.1061047878844887,0.0005094451123835,0.0219036240541616,0.013456090651558,0.0273745737944471,0.0197248896963405,0.0542457750886709,0.0065359477124183,0.2112676056338028,0.001694197373994,0.0,0.054140127388535,0.0840874811463046,0.0,0.0039215686274509,0.0,0.0910396081412042,0
TCGA.KN.8437.01A,0.22505384063173,0.0034423407917383,0.0016555237185609,0.6992797118847539,0.217337204479469,0.2401888462673355,0.0570543646588964,0.0862944162436548,0.6703483432455395,0.108695652173913,0.0204081632653061,0.1927927927927928,0.0085470085470085,0.0007525162261311,0.0003260448719254,0.6152927120669056,0.3402974504249292,0.4712128592303944,0.0765637165844796,0.487794700605049,0.0522875816993464,0.3661971830985915,0.000847098686997,0.3568147013782543,0.0605095541401273,0.4438159879336351,0.5491452991452992,0.1725490196078431,0.3386911595866819,0.3405117810995692,0
TCGA.KL.8342.01A,0.0944005743000717,0.0516351118760757,0.1246099968163005,0.3385354141656662,0.3322272915802571,0.0938329890823251,0.4044339391963485,0.131979695431472,0.3877088643443783,0.0217391304347826,0.1020408163265306,0.2648648648648648,0.2393162393162393,0.0020694196218605,0.0089152894667128,0.0461967343687773,0.3615439093484419,0.2412079883097905,0.0524266805086945,0.2618401836010849,0.2026143790849673,0.0704225352112676,0.0,0.1531393568147013,0.1019108280254777,0.4662518853695324,0.2153846153846153,0.0078431372549019,0.1340413318025258,0.3281817414069757,0
TCGA.KO.8416.01A,0.039124192390524,0.0017211703958691,0.0857051894301178,0.1914765906362544,0.0443799253421816,0.2708763647093538,0.1774390740891678,0.1116751269035533,0.3650523930897763,0.0217391304347826,0.0408163265306122,0.2054054054054054,0.0598290598290598,0.0031041294327908,0.0160678988445784,0.0461967343687773,0.1104815864022663,0.1790550414028251,0.1749286270438619,0.1967452534946797,0.0130718954248366,0.0422535211267605,0.0012706480304955,0.1745788667687595,0.1146496815286624,0.3297511312217195,0.2324786324786324,0.0039215686274509,0.1650401836969001,0.2172958365002955,0
