,hsa-mir-21,hsa-mir-203a,hsa-mir-221,hsa-mir-3607,hsa-mir-7706,hsa-mir-23a,hsa-mir-148b,hsa-mir-187,hsa-mir-369,hsa-mir-222,hsa-mir-6892,hsa-mir-874,hsa-mir-889,hsa-mir-370,hsa-mir-337,hsa-mir-940,hsa-mir-200c,hsa-mir-126,hsa-mir-659,hsa-mir-671,hsa-mir-361,hsa-mir-149,hsa-mir-382,hsa-mir-493,hsa-mir-654,hsa-mir-675,hsa-mir-141,hsa-mir-431,hsa-mir-455,hsa-mir-432,label
TCGA.KO.8414.01A,0.0,0.0557601262493424,0.4034482758620689,0.4934210526315788,0.6666666666666666,0.1284021071115013,0.1155778894472361,0.0056410256410256,0.0,0.6272108843537415,0.2,0.6637931034482758,0.0042372881355932,0.0227272727272727,0.0,0.1428571428571428,1.0,0.1321153846153845,0.6666666666666667,0.7368421052631579,0.6865671641791045,0.0512820512820512,0.0086206896551724,0.0,0.0035335689045936,0.0300601202404809,0.379771524101421,0.0076923076923076,0.0095824777549623,0.017391304347826,0
TCGA.KM.8441.01A,0.0714946054962478,0.0636507101525512,0.0743842364532019,0.0263157894736842,0.3333333333333333,0.0964661984196663,0.4974874371859296,0.182051282051282,0.0273972602739726,0.1714285714285714,0.4,0.2693965517241379,0.0169491525423728,0.0227272727272727,0.0172413793103448,0.2857142857142857,0.0006639665360865,0.4515384615384615,0.3333333333333333,0.0526315789473684,0.3333333333333332,0.0512820512820512,0.021551724137931,0.0227272727272727,0.0159010600706713,0.0280561122244488,0.0008358874338255,0.023076923076923,0.0971937029431896,0.0260869565217391,0
TCGA.KN.8425.01A,0.0866038642103469,0.1493950552340873,0.389655172413793,0.2763157894736842,0.3333333333333333,0.0827480245829675,0.1608040201005025,0.281025641025641,0.0068493150684931,0.4299319727891156,0.2,0.3211206896551724,0.0084745762711864,0.0075757575757575,0.0,0.2857142857142857,0.4450567691388354,0.1399999999999999,0.0,0.3684210526315789,0.5273631840796019,0.282051282051282,0.0043103448275862,0.0,0.0,0.0,0.7035385901365283,0.0076923076923076,0.0088980150581793,0.0,0
TCGA.KN.8435.01A,0.0331649649060287,0.1217780115728563,0.3226600985221675,0.3486842105263157,0.3333333333333333,0.0905399473222124,0.0904522613065326,0.0815384615384615,0.0068493150684931,0.4870748299319727,0.2,0.5118534482758621,0.0042372881355932,0.0075757575757575,0.0019157088122605,0.1428571428571428,0.2324546842839121,0.3398076923076922,0.6666666666666667,0.2631578947368421,0.0,0.0512820512820512,0.0043103448275862,0.0045454545454545,0.0017667844522968,0.0080160320641282,0.2967400390080802,0.0153846153846153,0.0260095824777549,0.008695652173913,0
TCGA.KN.8432.01A,0.0131053645486331,0.1251972645975802,0.3610837438423645,0.2631578947368421,0.3333333333333333,0.1163301141352063,0.1306532663316583,0.0348717948717948,0.0068493150684931,0.5102040816326531,0.0,0.1454741379310344,0.0084745762711864,0.0075757575757575,0.003831417624521,0.1428571428571428,0.2125356882013146,0.5625,0.3333333333333333,0.0526315789473684,0.1766169154228856,0.1025641025641025,0.0086206896551724,0.0045454545454545,0.0035335689045936,0.0140280561122244,0.3207021454444135,0.0153846153846153,0.0177960301163586,0.008695652173913,0
TCGA.KO.8410.01A,0.0308331138346167,0.2180431351920042,0.3714285714285714,0.0197368421052631,0.3333333333333333,0.0451053555750658,0.3015075376884422,0.083076923076923,0.0068493150684931,0.4993197278911565,0.2,0.0905172413793103,0.0042372881355932,0.0075757575757575,0.003831417624521,0.1428571428571428,0.7030077684084723,0.3542307692307692,0.3333333333333333,0.0,0.1467661691542288,0.1025641025641025,0.0086206896551724,0.0045454545454545,0.0017667844522968,0.0060120240480961,0.6575647812761215,0.0076923076923076,0.0157426420260095,0.008695652173913,0
TCGA.KL.8340.01A,0.0643260356465915,0.3887427669647553,0.5197044334975369,0.6184210526315789,0.0,0.0784679543459174,0.3065326633165829,0.0379487179487179,0.0,0.527891156462585,0.2,0.4321120689655172,0.0084745762711864,0.0075757575757575,0.0,0.1428571428571428,0.1282783347719275,0.2942307692307692,0.3333333333333333,0.2631578947368421,0.4129353233830846,0.2307692307692307,0.0043103448275862,0.0045454545454545,0.0017667844522968,0.0180360721442885,0.2089718584563945,0.0076923076923076,0.0061601642710472,0.008695652173913,0
TCGA.KN.8431.01A,0.014187364104471,0.0007890583903208,0.3906403940886699,0.0789473684210526,0.6666666666666666,0.220478489903424,0.1206030150753769,0.1687179487179487,0.0068493150684931,0.4802721088435374,0.2,0.584051724137931,0.0127118644067796,0.0075757575757575,0.0019157088122605,0.1428571428571428,0.0004647765752606,0.7575,0.3333333333333333,0.3684210526315789,0.5,0.4358974358974358,0.0043103448275862,0.0045454545454545,0.0,0.0080160320641282,0.0002786291446085,0.0153846153846153,0.000684462696783,0.008695652173913,0
TCGA.KN.8437.01A,0.0396672915924244,0.0265649658074697,0.0576354679802955,0.0723684210526315,0.6666666666666666,0.068920105355575,0.8844221105527639,0.3887179487179487,0.0136986301369863,0.1306122448979591,0.2,0.2284482758620689,0.0169491525423728,0.0151515151515151,0.0172413793103448,0.2857142857142857,0.2056304362260142,0.5232692307692307,0.3333333333333333,0.0526315789473684,0.2114427860696517,0.1025641025641025,0.0172413793103448,0.0181818181818181,0.0123674911660777,0.0120240480961923,0.2256896071329061,0.023076923076923,0.1026694045174538,0.0260869565217391,0
TCGA.KL.8342.01A,0.1552553157424479,0.4300368227248816,0.4485221674876847,0.1842105263157894,0.6666666666666666,0.1237928007023704,0.1356783919597989,0.0794871794871794,0.0136986301369863,0.3455782312925169,0.2,0.230603448275862,0.0127118644067796,0.0075757575757575,0.003831417624521,0.1428571428571428,0.4275944492397583,0.3121153846153846,0.6666666666666667,0.4736842105263158,0.3681592039800995,0.0256410256410256,0.0129310344827586,0.009090909090909,0.0017667844522968,0.0040080160320641,0.5686820841460017,0.0076923076923076,0.0068446269678302,0.017391304347826,0
