,hsa-mir-200a,hsa-mir-514a-2,hsa-mir-23b,hsa-mir-509-3,hsa-mir-616,hsa-mir-514a-1,hsa-mir-508,hsa-mir-3065,hsa-mir-199b,hsa-mir-27b,hsa-mir-199a-1,hsa-mir-30c-2,hsa-mir-885,hsa-mir-204,hsa-mir-200b,hsa-mir-675,hsa-mir-497,hsa-mir-514a-3,hsa-mir-93,hsa-mir-185,hsa-mir-222,hsa-mir-199a-2,hsa-mir-363,hsa-mir-106b,hsa-mir-1-1,hsa-mir-203a,hsa-mir-10b,hsa-mir-1-2,hsa-mir-21,hsa-mir-200c,label
TCGA.KL.8339.11A,0.5677419354838709,1.0,0.4582401193139447,1.0,0.0666666666666666,1.0,1.0,0.5238095238095238,0.1308113407958166,0.2863561125561598,0.1292618338298576,0.6862871927554981,0.0045871559633027,0.4661164205039096,0.3773087071240105,0.0841683366733466,0.2816901408450704,1.0,0.0891072336100287,0.0674157303370786,0.0149659863945578,0.1332997481108312,0.1705882352941176,0.066420664206642,0.2258064516129032,0.1806943713834823,0.5683922405675184,0.2666666666666666,0.1032186258863874,0.0557731890312728,0
TCGA.KN.8433.11A,0.7253456221198156,0.3272727272727272,0.5119313944817301,0.3035714285714285,0.0666666666666666,0.3797468354430379,0.243144424131627,1.0,0.1576109159245036,1.0,0.1458126448195961,1.0,0.0045871559633027,0.8544743701129451,0.4703166226912929,0.0821643286573146,0.591549295774648,0.3664596273291925,0.1478909029307131,0.048689138576779,0.0095238095238095,0.1573803526448362,0.4470588235294118,0.1623616236162361,0.3225806451612903,0.1751709626512362,0.4884801305794463,0.4,0.046138630224715,0.0765553416107828,0
TCGA.KL.8329.11A,0.5788018433179722,0.5151515151515151,0.58165548098434,0.7857142857142857,0.0666666666666666,0.5126582278481012,0.5283363802559415,0.5850340136054422,0.1908652667701609,0.6876330101678884,0.1908308507116848,0.7671410090556274,0.0,0.787141615986099,0.3608179419525066,0.0200400801603206,0.6056338028169015,0.5465838509316769,0.2259867863798068,0.1273408239700374,0.0068027210884353,0.1965743073047859,0.1705882352941176,0.2792127921279213,0.2580645161290322,0.1646501841136244,0.4327402850147529,0.2,0.2851159211457316,0.0663966536086581,0
TCGA.CZ.5458.11A,0.6564551422319476,0.0030534351145038,0.3565610859728507,0.0085106382978723,0.0294117647058823,0.003257328990228,0.0027416038382453,0.0416666666666666,0.0606151990349819,0.3207100591715976,0.0837349397590361,0.3914393435351519,0.0163265306122449,0.1537678207739307,0.7478448275862069,0.1936357481381178,0.0161290322580645,0.0047846889952153,0.0674157303370786,0.0513513513513513,0.0504201680672268,0.0729578617209873,0.1011235955056179,0.0589569160997732,0.04,0.7680000000000001,0.3022456000735308,0.0342857142857142,0.0125988698166317,0.362546699875467,0
TCGA.CZ.5454.11A,0.6323851203501094,0.0061068702290076,0.2745098039215686,0.0085106382978723,0.0294117647058823,0.006514657980456,0.0068540095956134,0.0462962962962962,0.0514676316847607,0.307396449704142,0.0687951807228915,0.378797959636283,0.0122448979591836,0.1588594704684317,0.7629310344827586,0.0453622207176709,0.0403225806451612,0.0063795853269537,0.0831015685838246,0.0405405405405405,0.0336134453781512,0.0595936178917223,0.1067415730337078,0.0487528344671201,0.0228571428571428,0.7149333333333334,0.3115288719178409,0.0571428571428571,0.039375979145527,0.2638542963885429,0
TCGA.CZ.5453.11A,0.6575492341356675,0.0045801526717557,0.3113122171945701,0.0085106382978723,0.0294117647058823,0.001628664495114,0.0037697052775873,0.0354938271604938,0.0725774024929634,0.3301775147928994,0.1004819277108433,0.3969838101574628,0.0163265306122449,0.1400203665987779,0.6443965517241379,0.2288422477995937,0.0403225806451612,0.0047846889952153,0.0758705083991545,0.0378378378378378,0.042016806722689,0.0874130642301922,0.0786516853932584,0.0668934240362811,0.0971428571428571,0.6149333333333334,0.3171065138806961,0.12,0.0199034546589283,0.3348381070983811,0
TCGA.CZ.5469.11A,0.5284463894967177,0.0015267175572519,0.3496229260935143,0.0042553191489361,0.0588235294117647,0.0,0.0006854009595613,0.0200617283950617,0.0873039806996381,0.3340236686390532,0.1155421686746988,0.3304502106897316,0.0122448979591836,0.0972505091649694,0.502155172413793,0.3493568043331076,0.021505376344086,0.0015948963317384,0.071976860607409,0.0297297297297297,0.053781512605042,0.1053456975317059,0.1179775280898876,0.0804988662131519,0.0228571428571428,0.7589333333333335,0.3681743984605056,0.0342857142857142,0.0110449738257683,0.3792029887920299,0
TCGA.CZ.5451.11A,0.4846827133479212,0.0732824427480916,0.3375565610859729,0.0595744680851063,0.0294117647058823,0.0732899022801303,0.0541466758053461,0.140432098765432,0.060313630880579,0.5156804733727811,0.0777108433734939,0.4151696606786427,0.0,0.6186354378818737,0.4073275862068966,0.0108327691266079,0.0564516129032258,0.0685805422647528,0.0536210924463232,0.0567567567567567,0.0285714285714285,0.0717305332060548,0.1348314606741573,0.0566893424036281,0.0971428571428571,0.1381333333333333,0.3599882722922433,0.0914285714285714,0.0307340248028972,0.1438356164383561,0
TCGA.CZ.5465.11A,0.7669584245076586,0.0015267175572519,0.3058823529411765,0.0085106382978723,0.0294117647058823,0.001628664495114,0.0023989033584647,0.0385802469135802,0.0550361881785283,0.3142011834319527,0.0866265060240963,0.4648480816145487,0.0122448979591836,0.2158859470468431,0.7704741379310345,0.1408259986459038,0.0161290322580645,0.0015948963317384,0.0540660807653799,0.0405405405405405,0.0605042016806722,0.0743897449884085,0.1067415730337078,0.0476190476190476,0.0285714285714285,0.5829333333333334,0.3357544999842932,0.0228571428571428,0.0095802358015938,0.6046077210460772,0
TCGA.CZ.4864.11A,0.4912472647702406,0.0809160305343511,0.285369532428356,0.1191489361702127,0.0588235294117647,0.0960912052117263,0.0860178204249486,0.0941358024691358,0.065038198632891,0.257396449704142,0.0914457831325301,0.3246839654025282,0.0,0.3482688391038696,0.4127155172413793,0.0182802979011509,0.0591397849462365,0.1020733652312599,0.0569585048392479,0.0567567567567567,0.0285714285714285,0.080799127233056,0.146067415730337,0.0600907029478458,0.1771428571428571,0.1552,0.2960513226829924,0.1657142857142857,0.0600033115816198,0.1503735990037359,0
