,CLDN10,ADH1C,WNK4,KCNJ1,TEK,CLDN19,TMEM178A,AQP6,FLRT1,MTURN,PEBP1,ATP1A1,PAQR7,MAP6,HSPA2,CLDN14,PTGER1,IRX2,HS6ST2,JPH4,WNT9B,AIF1L,TMEM45B,ACPP,ABCA4,ERVMER34-1,KCNJ10,DUSP9,AFAP1L2,SLC12A1,label
TCGA.KN.8431.11A,0.6480759754513282,0.1125100787694597,0.4462809917355372,0.4118404743966753,0.5444228000338782,0.5695696311563664,0.8590870428125885,0.0949299632784924,0.1399089529590288,0.7163195135119774,0.8113245994195062,0.6241548239208211,0.293804900601017,0.3789601949634443,0.8353875607170546,0.2178565164006314,0.728225514998193,0.6338028169014085,0.4113143343258188,0.6186556927297667,0.2896625987078248,0.9353840143946208,0.6876775180249072,0.0764185187543781,0.5339131449918282,0.6830739917434107,0.3350291030753013,0.3294386728760781,0.681521790120561,0.5269299195084527,0
TCGA.KO.8403.11A,0.6648747928145858,0.0932208646033616,1.0,0.5434782608695652,0.6744304226306429,0.7553142400098442,1.0,0.0229206772708822,0.3182094081942337,0.9191270495297093,0.7109707367500298,0.922072676188619,0.4022191400832177,0.3245329000812347,0.8883597297596634,0.2296088405542887,0.3046620889049512,0.8899982171510074,0.5372182050191409,0.8367626886145404,0.0789662598707824,0.8418959231024197,0.547847935328818,0.1189581608609819,0.760915246322671,0.5519212448396317,0.6009899628763922,0.5594532778527929,0.660834076089506,0.8061100170090857,0
TCGA.KN.8427.11A,0.6505845988442414,0.0161880543323202,0.6526820024214349,0.5105718521398886,0.4894554078089269,0.3656750853662288,0.2327757300822228,0.0354254543900835,0.0828528072837632,0.9815862010173056,0.4380939127668879,1.0,0.496879334257975,0.5601137286758732,0.3800294289828014,0.5102613576565515,0.6949765088543549,1.0,0.7111867290514675,0.569272976680384,0.0642498205312275,0.5872141199867418,0.7196853834389338,0.1567853276443991,0.2141022647676862,0.1968879009209272,0.4289380814886108,0.6083386150073025,0.1948210348548107,0.3768914324164966,0
TCGA.KN.8434.11A,0.4923621377055055,0.1329777336723934,0.4168552929409906,0.480107905801152,0.4586262386719742,0.2828313901621189,0.63623476041962,0.0142708276462866,0.1279210925644916,0.5875081697024807,0.5057900282294938,0.5811189952204522,0.6390429958391124,0.5917952883834281,0.1905131085549736,0.1671636554990352,0.248283339356704,0.3337493314316277,0.6855238905430313,0.7283950617283951,0.2035175879396985,0.4117441640229178,0.3701114266987109,0.3363051646182258,0.0259164137286948,0.2572245157192759,0.5874696365552958,0.4521480338394554,0.2153680161373551,0.3937475892467235,0
TCGA.KL.8339.11A,0.4572414102047215,0.0470135830800719,0.2251934515976207,0.5036211631467664,0.4139916998390784,0.1545513274064048,0.6657215764105472,0.0179097462726601,0.1019726858877086,0.3368190730584524,0.4743896862947795,0.3999498565339722,0.6477115117891817,0.4796913078797725,0.1242978972517127,0.0556042799508858,0.4145283700758945,0.1643786771260474,0.4417978165319722,0.4307270233196159,0.0793251974156496,0.3431033666366779,0.3103561284684291,0.2365153155448003,0.0124912444548213,0.3058113686884725,0.3691278243732526,0.3686792140869134,0.1300839705399446,0.2166355994555733,0
TCGA.KN.8433.11A,0.548582179814541,0.0880109160826149,0.423172079802074,0.4238705130386176,0.4299144575251968,0.3207924447042176,0.325205557130706,0.0034300309296214,0.1326251896813353,0.6420959904521042,0.4525764383125919,0.7248238014318745,0.4546925566343042,0.3830219333874898,0.3420565479486733,0.3380108752850377,0.3718829056740152,0.6411124977714387,0.9532113994045088,0.5665294924554184,0.1557788944723618,0.4368578057673186,0.415228315490496,0.4466662421193403,0.0279593742703712,0.1740234995236583,0.4620743388789587,0.591556670065309,0.1095839001735703,0.6688512834977884,0
TCGA.KL.8329.11A,0.2750526362944048,0.0943372821435216,0.261830815391904,0.2641018786302768,0.562886423308207,0.0568492939982157,0.5423872979869577,0.007773945532533,0.0479514415781487,0.2581625983916342,0.3419943541012286,0.4207872524166365,1.0,0.7961007311129162,0.0866572789266332,0.0380634976319943,0.3050234911456451,0.1656266714209306,0.2824330072309655,0.5390946502057613,0.1069633883704235,0.3055424025758795,0.2217609788070788,0.2220594790804305,0.0164020546346019,0.155604953953636,0.3012970346945323,0.1559425721292953,0.1731951025003518,0.0847582619807003,0
TCGA.CZ.5458.11A,0.9923805424020664,0.2331857474172464,0.5097015282901356,0.5739769914081841,0.8160971476983904,0.7086226631056848,1.0,1.0,0.3708701721731038,0.7186045518596011,0.9858862341173624,0.8843094401626769,0.6289413857863003,0.483235294117647,0.8754811193175908,0.6011044339775864,0.4125179856115107,0.5938712179984484,0.5760568068345723,0.4947668886774501,0.1039376374175494,1.0,0.7629033638620217,0.2422960069444444,1.0,0.833230389129092,0.4676224920347886,0.5231334622823984,0.590873990873991,0.719838104193233,0
TCGA.CZ.5454.11A,1.0,0.1953405017921146,1.0,0.7299645648269502,0.7804574978819543,0.8359404807325448,0.2826889450165145,0.4669626264711955,0.6905537459283388,0.8414535206456296,0.8693546486751291,0.8962605644670788,0.5062765641988731,0.4673529411764705,0.6202928326224904,0.4487575117752151,0.2244604316546762,0.941621411947246,1.0,1.0,0.0921447131720967,0.6949068781360472,0.6931438842762989,0.6430121527777778,0.1132519670404559,0.3335392217418159,1.0,1.0,0.3647595647595647,1.0,0
TCGA.CZ.5453.11A,0.6438226431338786,0.1840607210626186,0.4157524074162794,0.4819790301441677,0.7992092629200792,0.6591377336894315,0.4142218768214494,0.2084107646775414,0.7817589576547231,0.714612067124984,0.8533619412009104,0.6843913686828799,0.4809726203419986,0.4252941176470587,0.8317902839904296,0.0909533863894754,0.2564028776978417,0.5754460822342902,0.5912570731166094,0.6393910561370124,0.1752948231061363,0.5263683296708366,0.6069502696225284,0.7463107638888888,0.4921628151911281,0.6596664607782582,0.5090415913200723,0.3716827852998065,0.5461916461916463,0.61562197214625,0
TCGA.CZ.5469.11A,0.8152819629789066,0.1722011385199241,0.3381880898768745,0.5329110237367118,0.5076532053092347,0.6403662724151087,0.7930833495239946,0.8256590267740381,0.4644020474639367,0.681754131260942,0.9964715585293408,0.6337693019962417,0.7704853217356924,0.2735294117647058,1.0,0.1075198960532727,0.496978417266187,0.6169511249030256,0.3648063907688894,0.4919124643196955,0.893264041575055,0.6016433463909306,0.59941795771634,0.3577473958333333,0.5198252896350908,0.8914968087296684,0.5735382760699216,0.3347388781431334,0.6991926991926992,0.4132121404680838,0
